Trust Code,Trust Name,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07
RKB,UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST,❌,❌,❌,❌,✅,✅,✅,✅,❌,❌,❌,✅
RKE,WHITTINGTON HEALTH NHS TRUST,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
RL4,THE ROYAL WOLVERHAMPTON NHS TRUST,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
RLQ,WYE VALLEY NHS TRUST,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
RM3,NORTHERN CARE ALLIANCE NHS FOUNDATION TRUST,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
RMC,BOLTON NHS FOUNDATION TRUST,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
RMP,TAMESIDE AND GLOSSOP INTEGRATED CARE NHS FOUNDATION TRUST,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
RN3,GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST,✅,✅,✅,✅,✅,✅,✅,✅,❌,❌,❌,❌
RNA,THE DUDLEY GROUP NHS FOUNDATION TRUST,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
RNN,NORTH CUMBRIA INTEGRATED CARE NHS FOUNDATION TRUST,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
RP5,DONCASTER AND BASSETLAW TEACHING HOSPITALS NHS FOUNDATION TRUST,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
RPA,MEDWAY NHS FOUNDATION TRUST,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
RPG,OXLEAS NHS FOUNDATION TRUST,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
RQX,HOMERTON HEALTHCARE NHS FOUNDATION TRUST,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
RR7,GATESHEAD HEALTH NHS FOUNDATION TRUST,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
RRE,MIDLANDS PARTNERSHIP NHS FOUNDATION TRUST,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
RRF,WRIGHTINGTON, WIGAN AND LEIGH NHS FOUNDATION TRUST,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
RRK,UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
RT1,CAMBRIDGESHIRE AND PETERBOROUGH NHS FOUNDATION TRUST,✅,✅,✅,✅,✅,✅,✅,✅,✅,❌,✅,✅
RTD,THE NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
RTE,GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,❌,❌,❌,❌,❌,❌,❌,❌,✅,✅,✅,✅
RTF,NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
RTH,OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
RTR,SOUTH TEES HOSPITALS NHS FOUNDATION TRUST,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
RTX,UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
RVR,EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
RVV,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
RVW,NORTH TEES AND HARTLEPOOL NHS FOUNDATION TRUST,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
RW1,HAMPSHIRE AND ISLE OF WIGHT HEALTHCARE NHS FOUNDATION TRUST,✅,✅,✅,✅,✅,✅,✅,✅,✅,❌,✅,✅
RW4,MERSEY CARE NHS FOUNDATION TRUST,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
RW5,LANCASHIRE & SOUTH CUMBRIA NHS FOUNDATION TRUST,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
RWA,HULL UNIVERSITY TEACHING HOSPITALS NHS TRUST,✅,✅,✅,✅,✅,✅,❌,❌,❌,❌,❌,❌
RWD,UNITED LINCOLNSHIRE TEACHING HOSPITALS NHS TRUST,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
RWH,EAST AND NORTH HERTFORDSHIRE NHS TRUST,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
RWJ,STOCKPORT NHS FOUNDATION TRUST,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
RWX,BERKSHIRE HEALTHCARE NHS FOUNDATION TRUST,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
RWY,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
RX1,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
RXC,EAST SUSSEX HEALTHCARE NHS TRUST,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
RXF,MID YORKSHIRE TEACHING NHS TRUST,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
RXG,SOUTH WEST YORKSHIRE PARTNERSHIP NHS FOUNDATION TRUST,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
RXK,SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
RXL,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
RXP,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
RXQ,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
RXR,EAST LANCASHIRE HOSPITALS NHS TRUST,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,✅,✅,✅,✅,✅,✅,✅,❌,❌,✅,✅,✅
RYR,UNIVERSITY HOSPITALS SUSSEX NHS FOUNDATION TRUST,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
RYW,BIRMINGHAM COMMUNITY HEALTHCARE NHS FOUNDATION TRUST,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
RYY,KENT COMMUNITY HEALTH NHS FOUNDATION TRUST,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
